state,county,fipsint,mlra,lrr,class,cpsnum,cps_name,planner_implementation,n,lrr_fill,co2_mean,co2_sterr,n2o_mean,n2o_sterr,ch4_mean,ch4_sterr,soil_carbon_co2,soil_carbon_co2_sterr,biomass_co2,fossil_co2,drainedorganicsoils_co2,biomass_burning_co2,biomassburning_n2o,biomassburning_ch4,liming_co2,direct_soil_n2o,direct_soil_n2o_sterr,indirect_soil_n2o,indirect_soil_n2o_sterr,drainedorganicsoils_n2o,soil_ch4,total_ghg_co2,total_ghg_co2_sterr,total_ghg_co2_min,total_ghg_co2_max,_county_norm
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Chicken Broiler Manure on Non-Irrigated Croplands,155.0,,0.201540823,0.00549861,-0.145900021,0.00396167,0,-999,0.201540823,0.00549861,0.0,0.0,0,0,0,0,0,-0.123622381,0.003532105,-0.02227764,0.001099389,0.0,0,0.055640802,0.002815713,-0.018529299,0.202102979,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Chicken Layer Manure on Irrigated Croplands,146.0,,0.415982077,0.01358499,-0.131880454,0.005189999,0,-999,0.415982077,0.01358499,0.0,0.0,0,0,0,0,0,-0.117787653,0.004440971,-0.014092801,0.001441731,0.0,0,0.284101623,0.009226348,0.049148134,0.603589906,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Chicken Layer Manure on Non-Irrigated Croplands,155.0,,0.201540823,0.00549861,-0.145900021,0.00396167,0,-999,0.201540823,0.00549861,0.0,0.0,0,0,0,0,0,-0.123622381,0.003532105,-0.02227764,0.001099389,0.0,0,0.055640802,0.002815713,-0.018529299,0.202102979,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Compost (CN ratio 10) on Irrigated Croplands,146.0,,0.480289819,0.01438311,-0.125375919,0.004525213,0,-999,0.480289819,0.01438311,0.0,0.0,0,0,0,0,0,-0.114849426,0.004036881,-0.010526493,0.00129664,0.0,0,0.3549139,0.010655528,0.069787144,0.694080776,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Compost (CN ratio 10) on Non-Irrigated Croplands,155.0,,0.261683751,0.006944576,-0.14107168,0.003877556,0,-999,0.261683751,0.006944576,0.0,0.0,0,0,0,0,0,-0.121275247,0.003565076,-0.019796433,0.001020618,0.0,0,0.120612072,0.004009691,-7.91646e-17,0.282151327,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Compost (CN ratio 15) on Irrigated Croplands,146.0,,0.627516554,0.018317292,-0.106347251,0.00398679,0,-999,0.627516554,0.018317292,0.0,0.0,0,0,0,0,0,-0.105253561,0.003772916,-0.001093691,0.001179735,0.0,0,0.521169302,0.015025182,0.112809616,0.942548187,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Compost (CN ratio 15) on Non-Irrigated Croplands,155.0,,0.384397391,0.009631205,-0.118431953,0.00335286,0,-999,0.384397391,0.009631205,0.0,0.0,0,0,0,0,0,-0.105346791,0.003197795,-0.013085161,0.000805816,0.0,0,0.265965438,0.006981823,-7.91646e-17,0.528134597,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Compost (CN ratio 20) on Irrigated Croplands,146.0,,0.737971712,0.022017764,-0.082892053,0.00358632,0,-999,0.737971712,0.022017764,0.0,0.0,0,0,0,0,0,-0.091860777,0.003580119,0.008968723,0.001132767,0.0,0,0.655079659,0.0190723,0.138586717,1.184844541,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Compost (CN ratio 20) on Non-Irrigated Croplands,155.0,,0.49029004,0.012661424,-0.094384132,0.002804593,0,-999,0.49029004,0.012661424,0.0,0.0,0,0,0,0,0,-0.087118021,0.002695824,-0.007266111,0.000581823,0.0,0,0.395905909,0.010378187,-7.91646e-17,0.757259293,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Compost (CN ratio 25) on Irrigated Croplands,146.0,,0.873461313,0.02569159,-0.067213233,0.003115161,0,-999,0.873461313,0.02569159,0.0,0.0,0,0,0,0,0,-0.083564747,0.003296588,0.016351514,0.001154168,0.0,0,0.80624808,0.023208135,0.165042387,1.465447256,Hennepin
